Precinct,P_HolmesNo,P_Stracuzz,P_Moulton,P_HO_WRITE,OBJECTID_1
126,94.25,2.65,2.96,0.13,93
63,90.38,5.97,3.1,0.54,94
52,86.06,6.39,6.0,1.56,95
46,91.52,4.94,3.14,0.4,96
69,93.25,3.65,2.48,0.62,97
8,79.2,6.67,12.23,1.9,98
47,89.48,5.8,3.95,0.78,99
54,90.5,5.77,3.26,0.48,100
56,92.15,4.16,3.15,0.55,101
33,84.58,6.71,7.6,1.1,102
67,93.03,3.47,2.53,0.98,103
74,88.3,4.98,5.85,0.87,104
38,89.48,5.71,4.28,0.53,105
12,72.2,8.06,17.69,2.05,106
66,94.69,2.67,2.38,0.26,107
44,90.2,4.74,4.55,0.52,108
48,90.06,5.21,4.07,0.66,109
55,92.52,3.93,2.8,0.75,110
9,78.28,5.22,14.39,2.1,111
28,82.81,6.9,9.03,1.25,112
136,84.75,6.44,8.02,0.79,113
26,86.36,4.81,8.2,0.63,114
7,77.98,6.22,14.09,1.71,115
39,87.61,7.2,4.53,0.65,116
72,92.74,3.46,2.93,0.88,117
36,89.45,5.6,4.58,0.37,118
20,92.58,2.61,4.11,0.71,119
35,87.75,6.69,4.93,0.64,120
11,77.91,7.28,13.5,1.3,121
23,88.59,4.39,6.37,0.65,122
24,85.45,5.82,8.04,0.69,123
13,82.21,5.16,11.41,1.22,124
22,85.23,5.41,8.12,1.24,125
92,96.18,2.06,1.47,0.29,126
137,85.41,6.46,7.54,0.59,127
43,91.43,4.6,3.75,0.21,128
42,89.57,5.67,4.43,0.33,129
70,89.67,4.7,4.7,0.92,130
73,88.99,5.35,4.52,1.15,131
18,88.92,3.87,6.52,0.69,132
17,85.6,4.24,9.25,0.91,133
4,81.34,5.06,12.43,1.18,134
100,96.58,1.78,1.51,0.13,135
77,91.42,3.73,4.29,0.57,136
79,93.07,3.14,3.21,0.58,137
129,82.69,4.62,11.14,1.54,138
95,95.41,2.25,1.99,0.35,139
94,95.28,2.55,1.86,0.31,140
2,81.38,4.69,12.95,0.99,141
98,95.55,2.53,1.54,0.38,142
76,88.0,6.39,4.92,0.69,143
