Width,Height,Color,Text
20,20,l0r0, 71.6% - 74.4%
20,20,l0r1, 74.4% - 77.2%
20,20,l0r2, 77.2% - 80.1%
20,20,l0r3, 80.1% - 82.9%
20,20,l0r4, 82.9% - 85.7%
20,20,l0r5, 85.7% - 88.5%
20,20,l0r6, 88.5% - 91.4%
