Width,Height,Color,Text
20,20,l0r0, 0.2% - 0.7%
20,20,l0r1, 0.7% - 1.2%
20,20,l0r2, 1.2% - 1.7%
20,20,l0r3, 1.7% - 2.2%
20,20,l0r4, 2.2% - 2.7%
20,20,l0r5, 2.7% - 3.2%
20,20,l0r6, 3.2% - 3.8%
