Precinct,P_Clinton,P_Trump,P_Johnson,P_Stein,P_PRE_WRIT,OBJECTID_1
18,92.88,2.35,1.77,0.91,2.09,132
17,89.36,4.87,2.46,0.96,2.35,133
4,84.61,9.17,2.12,1.24,2.86,134
100,97.18,0.83,0.45,0.64,0.9,135
77,93.43,2.02,1.29,1.61,1.65,136
79,94.43,2.26,0.78,1.69,0.85,137
129,87.25,6.04,3.1,0.96,2.64,138
95,95.89,1.37,0.34,1.71,0.68,139
94,95.36,1.9,0.84,1.14,0.76,140
2,85.75,6.67,3.51,1.47,2.6,141
98,94.97,1.73,0.75,1.65,0.9,142
76,91.1,4.03,1.12,2.06,1.69,143
